indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1985,310617659.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1984,310046458.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1983,309543455.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1982,308901125.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1981,308127421.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1980,306894340.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1979,305541545.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1978,304275086.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1977,303021757.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1976,301804324.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1975,300516726.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1974,299065145.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1973,297413652.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1972,295527442.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1971,293516097.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1970,291834356.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1969,290179378.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1968,288206171.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1967,286298506.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1966,284299197.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1965,282028347.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1964,279621056.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1963,277205348.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1962,274815182.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1961,272472951.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'XC', 'value': 'Euro area'}",EMU,1960,270148970.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2025,,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2024,928263208.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2023,924773523.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2022,924234471.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2021,924381062.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2020,923664467.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2019,921932163.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2018,918689254.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2017,915065824.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2016,911579016.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2015,907527486.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2014,903561071.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2013,899907172.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2012,896514510.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2011,893009595.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2010,890990371.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2009,887741128.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2008,884224673.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2007,880656346.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2006,878166933.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2005,875563919.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2004,873069464.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2003,870529446.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2002,868234843.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2001,866590696.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,2000,865392479.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,1999,864306932.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,1998,863317613.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,1997,862335057.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,1996,861073426.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,1995,859504754.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,1994,857724587.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,1993,855554222.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,1992,852664501.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,1991,849169385.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'Z7', 'value': 'Europe & Central Asia'}",ECS,1990,845290251.0,,,0
